mode,kernel,dtype,N,misaligned,tail_multiple,mean_GFLOPs,mean_CPE,count
SIMD,elemmul,f32,5248,1,1,12.032541736842106,0.2909178947368421,19.0
SIMD,elemmul,f32,7312,0,0,14.642991777777777,0.2391281666666667,18.0
SIMD,elemmul,f32,7312,0,1,15.387050777777777,0.2275787222222222,18.0
SIMD,elemmul,f32,7312,1,0,12.425397555555556,0.2817385,18.0
SIMD,elemmul,f32,7312,1,1,12.490832666666666,0.28023172222222226,18.0
SIMD,elemmul,f32,10186,0,0,15.232904777777776,0.24312711111111115,18.0
SIMD,elemmul,f32,10186,0,1,16.819158388888887,0.20816955555555555,18.0
SIMD,elemmul,f32,10186,1,0,13.080286166666667,0.26761155555555555,18.0
SIMD,elemmul,f32,10186,1,1,8.41305047368421,0.4169423157894737,19.0
SIMD,elemmul,f32,14191,0,0,16.052935833333333,0.21818483333333333,18.0
SIMD,elemmul,f32,14191,0,1,17.04081063157895,0.20543410526315786,19.0
SIMD,elemmul,f32,14191,1,0,7.8780990000000015,0.4467811111111112,18.0
SIMD,elemmul,f32,14191,1,1,13.085375000000003,0.26798283333333334,18.0
SIMD,elemmul,f32,19771,0,0,16.13136322222222,0.21699216666666665,18.0
SIMD,elemmul,f32,19771,0,1,16.63015338888889,0.21047522222222226,18.0
SIMD,elemmul,f32,19771,1,0,12.803351388888888,0.27746716666666665,18.0
SIMD,elemmul,f32,19771,1,1,12.993378611111112,0.2693858333333333,18.0
SIMD,elemmul,f32,27544,0,0,16.37187677777778,0.21378505555555555,18.0
SIMD,elemmul,f32,27544,0,1,16.53493044444444,0.21170466666666668,18.0
SIMD,elemmul,f32,27544,1,0,13.096793611111114,0.26726144444444444,18.0
SIMD,elemmul,f32,27544,1,1,13.073847888888887,0.2677212222222222,18.0
SIMD,elemmul,f32,38374,0,0,14.056842833333334,0.24958516666666672,18.0
SIMD,elemmul,f32,38374,0,1,15.93032238888889,0.21971405555555557,18.0
SIMD,elemmul,f32,38374,1,0,12.997542666666666,0.26928972222222225,18.0
SIMD,elemmul,f32,38374,1,1,13.044221277777778,0.2683326666666666,18.0
SIMD,elemmul,f32,53461,0,0,13.998869555555556,0.25529749999999996,18.0
SIMD,elemmul,f32,53461,0,1,15.91496611111111,0.21992983333333332,18.0
SIMD,elemmul,f32,53461,1,0,12.661603944444444,0.2764279444444444,18.0
SIMD,elemmul,f32,53461,1,1,12.61435488888889,0.2774653888888889,18.0
SIMD,elemmul,f32,74480,0,0,12.754786666666666,0.2766047777777778,18.0
SIMD,elemmul,f32,74480,0,1,14.414204222222224,0.24285966666666667,18.0
SIMD,elemmul,f32,74480,1,0,11.579916277777777,0.3022592777777778,18.0
SIMD,elemmul,f32,74480,1,1,11.294360833333334,0.3099023888888889,18.0
SIMD,elemmul,f32,103763,0,0,8.802515500000002,0.3981928333333333,18.0
SIMD,elemmul,f32,103763,0,1,10.855796055555556,0.32333505555555553,18.0
SIMD,elemmul,f32,103763,1,0,9.50529538888889,0.3697041111111111,18.0
SIMD,elemmul,f32,103763,1,1,9.972751388888888,0.35140277777777773,18.0
SIMD,elemmul,f32,144560,0,0,6.438719111111111,0.5436140555555556,18.0
SIMD,elemmul,f32,144560,0,1,8.860737055555553,0.39544877777777776,18.0
SIMD,elemmul,f32,144560,1,0,8.215113055555555,0.4291596111111111,18.0
SIMD,elemmul,f32,144560,1,1,8.6953455,0.40254955555555555,18.0
SIMD,elemmul,f32,201396,0,0,5.153963833333333,0.6859926666666667,18.0
SIMD,elemmul,f32,201396,0,1,6.0265885555555565,0.5894660555555556,18.0
SIMD,elemmul,f32,201396,1,0,7.3941498333333335,0.47360677777777777,18.0
SIMD,elemmul,f32,201396,1,1,4.481006388888889,0.7937709444444445,18.0
SIMD,elemmul,f32,280578,0,0,4.670646944444445,0.7506348333333333,18.0
SIMD,elemmul,f32,280578,0,1,6.986250222222221,0.5013941666666667,18.0
SIMD,elemmul,f32,280578,1,0,6.6433651666666655,0.5274470555555555,18.0
SIMD,elemmul,f32,280578,1,1,5.038702222222223,0.6946245,18.0
SIMD,elemmul,f32,390892,0,0,4.578970777777777,0.7679618888888889,18.0
SIMD,elemmul,f32,390892,0,1,6.906350611111112,0.507134388888889,18.0
SIMD,elemmul,f32,390892,1,0,6.371549777777778,0.5510434444444444,18.0
